번호,카테고리,질문,답변
228,배송,‘로켓배송 상품과 같은 시간에 받아보세요’를 선택하여 주문한 후 다른 배송예정일(시간)로 변경할 수 있나요?,아니요. 해당 기능을 적용한 이후에는 배송예정일(시간)을 변경할 수 없는 점 양해 부탁드립니다.
229,배송,‘로켓배송 상품과 같은 시간에 받아보세요’는 무엇인가요?,"‘로켓배송 상품과 같은 시간에 받아보세요’ 기능은 하나의 주문번호에 여러 상품을 구매하였을 때, 각 상품의 배송예정일(시간)이 다른 경우 이를 한 번에 통합하여 같은 시간에 배송해 드리는 서비스입니다. 적용이 가능한 경우에만 주문 과정에서 ‘로켓배송 상품과 같은 시간에 받아보세요’ 기능이 노출되고, 고객님께서는 본인 의사에 따라 ‘같은 시간에 받기’ 또는 ‘다른 도착일(시간)에 받기’를 선택할 수 있습니다."
230,쿠팡캐시,쿠페이머니로 결제하면 쿠팡캐시가 적립되나요?,"네, 쿠페이 머니로 결제하면 쿠팡캐시가 적립됩니다.
 기본 혜택
쿠페이 머니 결제 시, 결제금액의 1%를 쿠팡캐시로 적립 (월 최대 1만원까지 적립 가능)
 와우 멤버십 신규 고객 추가 혜택
• 와우 멤버십 신규 가입 후 30일 이벤트 기간 내 추가 혜택 대상인 경우
• 쿠페이 계좌이체로 결제 시, 결제금액의 2%를 쿠팡캐시로 적립 (최대 2만원까지 적립 가능)
• 쿠페이 머니로 결제 시, 결제금액의 4%를 쿠팡캐시로 적립 (최대 4만원까지 적립 가능)
• 예시 : 기본 혜택 1% + 추가 혜택 4% = 총 5% 쿠팡캐시 적립 (최대 5만원까지 적립 가능)"
231,나중결제,나중결제 해지는 어떻게 하나요?,나중결제 서비스를 해지하시려면 쿠팡 고객센터(1577-7011)로 연락 주시기 바랍니다. 처리 완료까지는 평일 기준 약 1~2일 정도 소요됩니다.
232,고객센터,청각 또는 언어장애인이 문의할 수 있는 방법이 있나요?,"청각 또는 언어장애인은 다음의 방법을 활용하여 문의할 수 있습니다.
 고객센터 1:1 채팅상담
[고객센터 → 문의내역]으로 이동 후 [채팅 상담하기] 버튼을 눌러 주시면 상담이 가능합니다.
 손말이음센터 이용하기
국번없이 107 (손말이음센터 바로가기)를 통해 쿠팡 고객센터(1577-7011)로 연락 주시면 상담이 가능합니다. 
 ※ 손말이음센터를 통한 실시간 통신중계서비스가 아닌 타인(제3자)을 통해 쿠팡 고객센터로 문의하시면, 회원 본인의 동의가 확인되지 않아 상담이 불가합니다."
233,쿠팡 비즈,개인 회원으로 와우 멤버십을 가입했는데 사업자 회원에서 또 가입해야 하나요?,"개인 회원과 사업자 회원은 각기 다른 회원(계정)으로 구분됩니다. 따라서, 두 계정에서 모두 와우 멤버십이 필요하다면 각각 따로 가입해야 합니다."
234,쿠팡 비즈,사업자 계정 회원에게 제한된 서비스는 무엇이 있나요?,"사업자 계정 회원의 경우 로켓직구, 해외배송상품, 쿠팡플레이를 이용할 수 없습니다. 해당 서비스를 이용하시려면 개인 계정 회원으로 가입 및 로그인해 주시기 바랍니다."
235,쿠팡 비즈,개인회원도 쿠팡비즈 상품을 구매할 수 있나요?,"아니요. 쿠팡비즈몰은 사업자 회원을 위한 전용 몰입니다. 따라서, 사업자 회원만 이용이 가능합니다."
236,쿠팡 비즈,사업자 회원은 쿠팡에서 상품 판매도 가능한가요?,아니요. 사업자 회원은 상품을 구매만 할 수 있습니다. 쿠팡에서 상품을 판매하려면 판매자 회원으로 가입하셔야 합니다. 판매자 회원 가입은 쿠팡 마켓플레이스(https://marketplace.coupangcorp.com)에서 신청해 주시기 바랍니다.
237,쿠팡 비즈,쿠팡 비즈몰이란 무엇인가요?,쿠팡비즈몰은 사업자 회원을 위한 전용 몰입니다. 사업자등록번호가 있으면 간편하게 사업자 회원으로 가입할 수 있습니다.
238,쿠팡 비즈,사업자 회원과 개인 회원을 동시에 가입할 수 있나요?,"네, 사업자 회원과 개인 회원은 서로 다른 회원(계정)으로 구분되므로 동시에 각각 따로 가입할 수 있습니다."
239,쿠팡 비즈,사업자 계정 아이디를 여러 개 사용할 수 있나요?,아니요. 사업자등록번호 1개당 1개의 아이디만 보유할 수 있습니다.
240,비밀번호 관리,쿠팡비즈 사업자 계정의 아이디와 비밀번호를 잃어버렸어요.,"아이디(이메일)찾기
① 쿠팡 로그인 화면에서 [아이디(이메일)/비밀번호 찾기] 선택
② [아이디(이메일)찾기] 선택
③ 아이디(이메일) 찾는 방법 선택
  ③-1. '본인확인 후 찾기' 선택 시 찾으려는 회원님의 본인 명의로 등록된 휴대폰번호로 인증 후 확인 가능
  ③-2. '등록된 휴대폰번호로 찾기' 선택 시 고객명 + 가입 시 등록한 휴대폰번호로 인증 후 확인 가능
 ※ 위 방법으로도 확인되지 않을 경우, 쿠팡 고객센터(1577-7011)로 연락 주시기 바랍니다.
 비밀번호 재설정하기
쿠팡의 회원 비밀번호는 암호화 저장되어 분실 시 찾아드릴 수 없습니다. 아래의 방법으로 비밀번호를 재설정해 주시기 바랍니다.
 ① 쿠팡 로그인 화면에서 [아이디(이메일)/비밀번호 찾기] 선택
② [비밀번호 찾기] 선택
③ 회원정보 확인 : 이름, 아이디(이메일)입력
④ 비밀번호 찾는 방법 선택 (휴대폰 또는 이메일)
  ④-1. '휴대폰' 선택 시 등록된 휴대폰 번호로 인증완료 후, 새로운 비밀번호 설정
  ④-2. '이메일' 선택 시 이메일로 발송된 비밀번호 재설정 링크 선택하여 새로운 비밀번호 설정 (링크는 1시간 동안만 유효함)
※ 이메일 주소와 휴대폰 번호가 변경되어 찾을 수 없는 경우, 쿠팡 고객센터(1577-7011)로 연락 주시기 바랍니다."
241,가입/탈퇴,쿠팡비즈 사업자 회원 탈퇴는 어떻게 하나요?,"아래의 순서대로 회원 탈퇴를 진행할 수 있습니다. 탈퇴 시 회원 전용 웹 서비스 이용이 불가하며, 탈퇴 전 유의사항을 반드시 확인해 주세요.
 회원 탈퇴하기
① 마이쿠팡 → MY정보 → 개인정보확인/수정 → 비밀번호 입력 → [회원탈퇴] 선택 (모바일 앱의 경우 [PC버전으로 이동] 선택 후 진행)
② 회원탈퇴 동의 및 본인 인증
③ 쿠팡 이용 내역 확인 및 탈퇴 진행 절차 동의
④ 설문조사 후 탈퇴 완료
 유의사항 (더 보기)"
242,가입/탈퇴,개인 회원에서 쿠팡비즈 사업자 회원으로 변경할 수 있나요?,기존 개인 회원 계정을 사업자 회원으로 변경(전환)할 수 없습니다. 사업자 계정이 필요한 경우 별도로 사업자 회원으로 신규 가입해 주시기 바랍니다.
243,가입/탈퇴,개인 회원과 쿠팡비즈 사업자 회원에서 같은 아이디를 사용할 수 있나요?,"아니요. 개인 회원과 사업자 회원의 계정 아이디(이메일)는 서로 다르게 가입해야 합니다. 아이디(이메일)가 같을 시에는 회원 가입이 불가합니다. 따라서, 각 계정의 아이디는 서로 다른 이메일을 사용해 주시기 바랍니다. 단, 휴대폰 번호는 동일하게 사용할 수 있습니다."
244,가입/탈퇴,쿠팡비즈 사업자 계정 회원 가입이 거절될 수도 있나요?,"네, 다음의 경우엔 사업자 계정 회원가입이 거절될 수 있습니다.
 • 사업자등록번호가 유효하지 않은 경우
• 사업자가 폐업 상태인 경우
• 사업자등록증이 첨부되지 않은 경우
• 인증된 휴대폰의 명의와 사업자등록증의 사업주가 다른 경우
• 가입 시 입력한 사업자등록번호와 첨부된 사업자등록증의 사업자등록번호가 다른 경우"
245,프레시백,프레시백으로 주문했지만 박스나 비닐 포장으로 배송되는 경우도 있나요?,"네, 수박, 계란 등 또는 용량 초과로 프레시백에 담기 어려운 상품은 박스나 비닐로 포장되어 배송될 수 있습니다."
246,쿠팡캐시,쿠팡캐시를 쿠페이 머니로 전환할 수 있나요?,아니요. 쿠팡캐시는 다른 결제 수단으로 전환할 수 없습니다.
247,회수,회수 예정일을 지정할 수 있나요?,"회수 예정일 선택 및 지정 여부는 상품 유형과 접수 경로에 따라 다릅니다. 반품 신청 및 접수 단계에서 회수 예정일을 선택할 수 있는 옵션이 노출되는 경우에만 날짜를 지정할 수 있습니다. 이외에는 회수 예정일을 선택 및 지정할 수 없습니다.
 로켓배송 상품
• 고객센터를 통해 접수할 경우 : 회수 예정일 선택 불가
• 마이쿠팡을 통해 직접 접수할 경우 : 회수 예정일 선택 가능
 ※ 회수 예정일 선택 시 유의사항
－옵션에 노출되는 날짜 이내에만 선택 가능 
－반품 시에만 선택 가능 (교환은 불가)
－도서산간 지역 등 일부 지역은 불가
 로켓직구, 판매자 배송 상품
회수 예정일을 선택 및 지정할 수 없습니다.
 반품 접수 후 회수 일정 안내 (클릭)"
248,주문확인,주문 내역을 삭제했는데 교환/반품을 어떻게 하나요?,마이쿠팡에서 주문 내역을 삭제했는데 교환/반품을 원하시는 경우 주문자께서 쿠팡 고객센터(1577-7011)로 직접 연락 주시기 바랍니다. 고객센터에서 주문 내역을 확인한 후 처리해 드리도록 하겠습니다.
249,선물하기,선물을 보내는 사람(주문자)의 이름과 연락처를 선물을 받는 사람(수취인)이 알 수 있나요?,"선물 메시지를 전송하는 수단에 따라 선물을 받는 사람(수취인)은 아래의 정보를 알 수 있게 됩니다.
 • 카카오톡으로 보내면 선물을 보내는 사람(주문자)의 이름을 알 수 있습니다.
• 문자(SMS)로 보내면 선물을 보내는 사람(주문자)의 이름과 연락처 끝 4자리 번호를 알 수 있습니다.
 단, 선물을 보내는 사람(주문자)이 입력한 정보를 기준으로 안내되기에 주문자가 이름을 잘못 입력하거나 다르게 입력하면 확인이 어려울 수 있습니다. 또한, 배송출발 또는 배송완료 문자를 받게 되면 주문자의 연락처 끝 4자리 번호가 안내되니 이용에 참고해 주세요. 추가 확인은 쿠팡 고객센터(1577-7011)로 연락 주시면 주문자와 확인 후 도와드리겠습니다."
250,선물하기,선물하기로 주문했는데 배송상태가 보이지 않습니다.,"선물을 보내는 사람(주문자)이 주문 시 [쿠팡캐시로 교환 가능] 옵션을 선택하였고, 선물을 받는 사람(수취인)이 [상품으로 받기] 대신 [쿠팡캐시로 교환하기]로 선물을 수락했다면 상품 배송이 진행되지 않습니다. 이 경우, 배송상태가 별도로 보이지 않으며 선물을 보내는 사람(주문자)의 주문내역에서는 [선물 수락 완료]의 상태 값이 표시됩니다."
251,쿠페이,쿠페이 머니로 결제했는데 쿠팡캐시는 언제 적립되나요?,"쿠페이 머니로 결제하면 배송완료 7일 후에 쿠팡캐시가 적립됩니다. 적립된 쿠팡캐시의 유효기간은 6개월이며, 이후에는 자동으로 소멸됩니다. 적립된 쿠팡캐시는 아래의 경로에서 직접 확인할 수 있습니다. 
 쿠팡캐시 확인하기
마이쿠팡 → 쿠팡캐시 → [쿠팡캐시 적립 및 사용내역] 클릭"
252,정기배송,정기배송 상품은 일시 품절인데 로켓배송으로는 왜 구매가 가능한가요?,"향후 입고 예정이 없거나 정기배송 결제 예정인 상품의 수량이 재고 수량보다 적은 경우에는 일시 품절로 보일 수 있습니다. 재고 확보가 불가하면 해당 상품의 정기배송은 자동으로 다음 달로 건너뛰게 됩니다. 일시 품절로 정기배송 건너뛰기가 두 번 연속 발생할 경우엔 앞으로도 해당 상품은 재고 확보가 어려운 것으로 판단하여 고객님께 안내 후 정기배송에서 해지됩니다. 
 ※ 정기배송 서비스는 2025년 12월 29일(월)에 공식 종료됩니다. 2025년 4월 16일(수)부터는 신규 신청이 불가능하며, 기존에 이용 중인 고객님께서는 종료일까지만 서비스를 이용하실 수 있습니다. 단, 종료일 이전에 서비스를 해지할 경우에는 신규 신청이 불가하오니 이용에 참고해 주세요."
253,쿠팡플레이,쿠팡플레이란 무엇인가요?,"쿠팡플레이는 쿠팡 회원에게 제공되는 무료 콘텐츠 스트리밍 서비스입니다. (일부 유료 콘텐츠 제외, 쿠팡비즈 회원 제외)
 주기적으로 업데이트 되는 국내 예능부터 영화, 애니메이션, 다큐멘터리, 쿠팡플레이 시리즈까지 다채로운 콘텐츠를 시청하실 수 있습니다."
254,쿠팡플레이,쿠팡플레이 고객센터 연락처는 어떻게 되나요?,쿠팡플레이 고객센터 연락처 : 1600-9800 (365일 24시간 연중무휴)
255,가입/탈퇴,쿠팡플레이의 탈퇴/해지는 어떻게 하나요?,"쿠팡플레이 해지
• 해지 방법 : [쿠팡플레이 앱] → [프로필] → 우측 상단 [설정] 아이콘 하단 → [쿠팡 계정 관리] → [와우 멤버십 해지] 선택
• 와우 멤버십을 해지하면 자동으로 함께 해지됩니다. 
• 쿠팡플레이는 와우 멤버십 해지 시에도 쿠팡 일반 회원이라면 이용 가능합니다.
• 와우 멤버십은 언제든지 해지 및 재가입이 가능합니다. 다만, 와우 멤버십 해지 시 다운로드한 콘텐츠 등의 정보가 소멸되는 점 참고 부탁드립니다.
• 소장 구매하신 개별구매 콘텐츠는 와우 멤버십 해지 후에도 지속 시청 가능합니다. (대여로 구매하신 상품은 대여 기간 내에만 시청 가능)
• 와우 회원이 아닌 경우 가입한 패스는 더 이상 시청이 불가한 점 참고 부탁드립니다(패스 잔여기간 무관).
 만일 와우 멤버십 해지 후 쿠팡 회원 탈퇴/계정 삭제까지 원하시는 경우 아래의 방법으로 쿠팡 회원 탈퇴가 가능하며, 이 경우 쿠팡 회원에게 제공되는 모든 서비스에서 탈퇴된다는 점을 유의하여 주시기 바랍니다.
 쿠팡플레이 탈퇴
• 탈퇴 방법 : [쿠팡플레이 앱] → [프로필] → 우측 상단 [설정] 아이콘 하단 → [쿠팡 계정 관리] → [쿠팡 회원 탈퇴] 선택
• 쿠팡 회원을 탈퇴하면 자동으로 함께 탈퇴됩니다.
• 회원 탈퇴 시 일정 기간 이후 개인정보는 완전히 삭제되므로 재가입 및 와우 멤버십 재등록을 하더라도 쿠팡플레이 프로필 및 시청 이력 등의 확인이 불가합니다.
• 쿠팡의 자세한 개인정보 별 보관기간은 쿠팡 FAQ '[회원탈퇴] 탈퇴하면 개인정보는 모두 삭제되나요?'를 확인해 주세요."
256,가입/탈퇴,쿠팡플레이는 어떻게 가입할 수 있나요?,"쿠팡 회원이라면 간단한 약관 동의 및 프로필 생성 후 바로 쿠팡플레이를 이용하실 수 있습니다. 단, 쿠팡플레이는 쿠팡 일반 회원에 한해 제공되고 있으며 쿠팡 비즈 회원 계정으로 가입한 회원은 이용이 제한됨을 참고 부탁드립니다.
 회원 가입 방법
1. 모바일 기기
• 쿠팡 앱 미설치 고객 : 쿠팡플레이 앱 접속 → 실행 후 우측 상단 [로그인] 선택 → [회원가입] 선택 후 쿠팡 회원 가입
• 쿠팡 앱 설치 고객 : 쿠팡플레이 앱 접속 → [쿠팡 앱으로 로그인하기] 선택 → 쿠팡 앱 연결 및 쿠팡 회원 가입
 2. PC
• www.coupangplay.com 접속 후 [쿠팡플레이 시작하기] 선택 → 팝업 내 [쿠팡 회원가입하기] 선택 → 쿠팡 회원 가입"
257,쿠팡플레이,쿠팡플레이는 누가 이용할 수 있나요?,"쿠팡플레이는 쿠팡 회원이라면 누구나 이용할 수 있습니다. 다만, 일부 콘텐츠는 와우멤버십에 가입하거나 와우멤버십 가입 후 추가로 패스를 등록하신 후 시청할 수 있습니다. 쿠팡플레이는 쿠팡 일반 회원에 한해 제공되고 있으며, 쿠팡 비즈 회원 계정으로 가입한 회원은 이용이 제한됨을 참고 부탁드립니다."
258,로켓배송,로켓배송/로켓프레시 상품이 일시 품절로 주문이 안돼요.,"모든 상품은 갑작스러운 주문량 증가 및 공급 이슈로 일시 품절될 수 있습니다. 해당 상품의 재입고 알림을 원하시면 상품 페이지 내 [재입고 알림신청] 버튼을 클릭해 주시기 바랍니다. 이후 상품의 재고가 확보되면 모바일 앱 알림을 받을 수 있습니다.
 참고사항
• 배송지가 변경되면 재고 상태가 달라질 수 있습니다. 
• 배송지가 로켓프레시 가능 지역인지 확인해 주세요. 서비스 지역이 아닌 경우 품절로 노출됩니다."
259,선물하기,선물하기 구매 시 쿠팡캐시 적립 혜택을 쿠페이 머니 결제 혜택과 중복으로 받을 수 있나요?,"네, 로켓선물 구매 시 쿠페이 머니로 결제하면 아래의 혜택을 각각 중복으로 적립 받을 수 있습니다.
 • 로켓선물 구매 시 쿠팡캐시 최대 1% (월 최대 5만원, 쿠팡캐시 사용 금액 제외)
• 쿠페이 머니 결제 시 쿠팡캐시 최대 1% (월 최대 1만원)
 참고사항
• 로켓선물 구매 혜택은 결제 완료 9일 후 적립됩니다.
• 쿠페이 머니 결제 혜택은 배송 완료 7일 후 적립됩니다."
260,해외직구,통관 진행 상황은 어떻게 조회하나요?,"해외 직구 상품의 통관 정보는 관세청 홈페이지에서 누구나 쉽게 조회할 수 있습니다. 
 통관내역 조회하기
• 해외직구 통관정보조회 바로가기
• 관세청 홈페이지 : http://www.customs.go.kr"
261,리워드 프로그램,쿠팡캐시는 언제 지급되나요?,"리워드 프로그램 참여를 통해 지급되는 쿠팡캐시는 링크를 공유 받은 고객이 주문한 일자를 기준으로 그다음 달 20일에 지급됩니다. 단, 20일이 공휴일인 경우 그다음 평일에 지급됩니다. 
 ※ 단, 캐시의 최소 적립 기준은 1,000원입니다. 당월 총 누적 캐시가 1,000원이 되어야 그다음 정산일에 리워드로 지급됩니다. 1,000원 미만의 캐시는 사라지지 않고 다음 달 누적 캐시로 이월됩니다. 그리고 누적 캐시가 최소 적립 기준인 1,000원을 달성하면 그다음 정산일에 리워드로 지급됩니다."
262,프레시백,로켓프레시 에코서비스(프레시백)가 무엇인가요?,"와우 멤버십 회원 중 일부 지역에 한 해 로켓프레시 상품 주문 시, 일회용 박스가 아닌 재사용이 가능한 가방에 배송되는 서비스입니다."
263,주문,쿠팡 앱이나 홈페이지가 아닌 판매자가 직접 거래를 요청할 경우 어떻게 하나요?,"쿠팡은 판매자 직접 거래를 허용하고 있지 않습니다. 판매자가 계좌이체(현금거래)를 통한 직거래를 유도하거나 확인되지 않은 개인 판매/결제 사이트로 안내하며 직거래를 유도할 경우, 절대 응하지 마시고 즉시 사기 거래 신고센터(1670-9832)로 신고해 주시기 바랍니다."
264,로켓모바일,로켓모바일 상품 구매 시 카드할인을 받을 수 있나요?,"카드할인은 기기 값 할인과 통신요금 할인을 제공받을 수 있습니다. 기기 값 할인은 쿠팡에서 상품 구매 시 상품페이지의 ‘카드혜택’란을 통해 확인이 가능하며, 예고없이 변경 및 종료될 수 있습니다. 통신요금 할인은 각 통신사별 제휴카드를 통해 요금할인이 적용되며, 통신사별 할인 조건이 다르므로 상세내용은 각 통신사 홈페이지를 확인해 주세요."
265,로켓모바일,유심은 휴대폰에 어떻게 설치하나요?,"휴대폰 기종마다 유심을 삽입하는 위치와 크기가 다르기에 구매하신 휴대폰의 상품설명서를 참고하여 설치해 주시기 바랍니다. 
 ※ 휴대폰 개통 전 삽입 시, 휴대폰 이용이 불가할 수 있습니다. 개통 문자 수신 후 유심을 설치해 주세요."
266,로켓모바일,알뜰폰 유심이란 무엇인가요?,알뜰폰 유심이란 알뜰폰 요금제를 사용하기 위해 필요한 유심입니다. 자세한 정보는 각 알뜰폰 홈페이지 또는 고객센터로 문의해 주시기 바랍니다.
267,로켓모바일,알뜰폰이란 무엇인가요?,"알뜰폰이란 기존 이동통신사(SKT, KT, LG U+)의 통신망을 빌려서 제공하는 통신 서비스입니다. 통신사 멤버십 혜택이 없는 대신 요금제를 저렴하게 이용할 수 있습니다."
268,로켓모바일,로켓모바일이란 무엇인가요?,"로켓모바일이란 쿠팡에서 휴대폰 구매 시 로켓배송으로 빠르게 배송해 드리고, 로켓모바일 센터에서 별도 연락을 통해 개통을 지원해 드리는 서비스입니다. 
 로켓모바일 개통센터 전화번호 : 1599-9898
일요일, 신정, 구정, 추석 당일에만 휴무(구정, 추석의 대체공휴일 포함), 그 외 모든 공휴일엔 운영
 상담사 연결 시간 (휴대폰 개통 시간)
평일 : 오전 9시~오후 6시
토요일/공휴일 : 오전 9시~오후 1시"
269,로켓모바일,휴대폰 구매 후 개통은 어떻게 진행되나요?,"휴대폰 구매를 완료하시면 개통센터에서 순차적으로 고객님께 연락을 드립니다. 개통을 위해 필요한 서류를 미리 준비해 주시면 빠른 처리가 가능합니다. 자세한 내용은 아래를 확인해 주세요.
 로켓모바일 개통센터 전화번호 : 1599-9898 
 가입 유형별 사전 준비 필요사항
 신규가입
 기기변경
 번호이동"
270,로켓모바일,기기할인과 요금할인 중 어떤 할인이 더 유리한가요?,구매하는 휴대폰의 기종과 요금제에 따라 다릅니다. 상품 구매 시 각각의 할인을 비교하여 선택해 주세요.
271,로켓모바일,어떤 할인 방법이 있나요?,"로켓모바일에는 기기할인과 요금할인이 있습니다. 
 • 기기할인 : 휴대폰 기기의 가격 자체에서 할인 받는 방법
• 요금할인 : 월별 통신 요금을 할인 받는 방법
 자세한 할인방법은 휴대폰 구매/결제 단계에서 확인이 가능합니다."
272,로켓모바일,"기존에 사용하던 유심이 있는데, 새 휴대폰에 그대로 사용할 수 있나요?","쿠팡에서 판매하는 휴대폰의 유심은 ‘나노유심’만 사용할 수 있습니다. 기존에 사용하던 유심이 일반 유심이라면, 휴대폰 구매 시 나노 유심을 함께 구매해 주세요. 단, 알뜰폰은 알뜰폰 유심을 통해서만 개통됩니다. 알뜰폰 구매 시 미리 확인해 주세요."
273,로켓모바일,가입유형에는 무엇이 있나요?,"로켓모바일 가입유형은 신규가입, 기기변경, 번호이동이 있습니다.
 • 신규가입 : 통신사에 신규 회원으로 가입하여 새로운 번호로 휴대폰을 개통하는 유형
• 기기변경 : 현재 사용하고 있는 통신사와 휴대폰 번호를 그대로 사용하고, 휴대폰 기기만 교체하는 유형
• 번호이동 : 기존에 사용하던 통신사에서 다른 통신사로 이동하여 개통하는 유형
 원하시는 가입유형은 휴대폰 구매 시 구매/결제창에서 선택할 수 있습니다."
274,로켓모바일,휴대폰 AS서비스를 받고 싶어요.,"구매하신 휴대폰의 AS서비스가 필요한 경우, 쿠팡 고객센터로 문의해 주시거나 각 제조사로 AS서비스를 접수해 주시면 됩니다.
 휴대폰 제조사별 AS센터 연락처 및 홈페이지 주소
• 삼성전자 : 1588-3366 / 홈페이지 : www.samsungsvc.co.kr
• 애플 : 080-333-4000 / 홈페이지 : locate.apple.com
• 샤오미 : 1566-8106 / 홈페이지 : www.mi.com/kr/service/repair"
275,찜하기,찜한 상품은 어디에서 확인할 수 있나요?,"찜한 상품은 다음의 경로에서 확인할 수 있습니다.
 • 모바일 : 마이쿠팡 → 찜한상품 (하트 모양 아이콘)
• PC : 마이쿠팡 → 찜 리스트"
276,취소 철회,티켓 주문(예매)을 취소했는데 다시 철회하고 싶어요.,"모바일 앱 [마이쿠팡 → 취소∙반품∙교환목록 → 취소 상세 보기]에서 [취소 접수 철회] 버튼이 활성화된 경우에만 취소 철회가 가능합니다.
 만약 위 경로에서 해당 버튼이 보이지 않는다면 취소 철회가 불가능한 상품이거나 이미 취소가 진행 중인 상태로 취소 철회가 불가합니다. 이 경우엔 티켓을 다시 구매해 주시기 바랍니다."
277,쿠페이,쿠페이 머니 충전/인출은 어떻게 해야 하나요?,"쿠페이 머니는 현금을 쿠페이에 미리 충전(이체)하여 사용하는 선불 전자 지급수단입니다. 쿠페이 머니 보유 잔액 한도는 본인 명의의 계좌를 연결하면 200만원, 연결 계좌가 없으면 50만원으로 제한됩니다. 
 쿠페이 머니 충전/인출 방법
① 마이쿠팡에서 [쿠페이 홈]으로 이동
② 쿠페이 머니 [충전] 또는 [인출] 버튼 클릭
③ 원하는 [충전금액] 또는 [인출금액] 입력
④ 필요시 추가 정보 입력 후 [충전하기] 또는 [인출하기] 클릭하여 완료 
 이미지로 확인하기 (클릭)
 쿠페이 머니 충전/인출 종류
• 즉시 충전 : 쿠페이에 계좌 등록 후 이체를 통해 바로 충전
• 무통장 입금 : 가상의 전용 계좌를 발급받아 직접 입금하여 충전
• 보유 계좌로 인출 : 쿠페이에 등록된 본인 계좌로 즉시 인출 가능 (단, 보이스피싱 등 피해 예방을 위해 충전 시점으로부터 24시간 이내에는 충전 계좌로만 인출 가능) 
• 다른 계좌로 인출 : 쿠페이에 등록되지 않은 본인 명의의 다른 계좌로 인출 (입금 완료까지 평일 기준 1~3일 소요)"
278,여행/티켓,여행/티켓 상품도 현금영수증 발급이 가능한가요?,"기본적으로 주문/결제 단계에서 현금영수증 신청이 가능합니다. 단, 일부 상품은 현금영수증 발급이 불가하거나, 사용처(판매자)를 통해 발급되니 아래의 참고사항을 확인해 주세요.
 참고사항
• 해외배송상품 : 해외 사업자는 국내 소득세법이 아닌 해외 법이 적용되어 현금영수증을 발급하지 않습니다.
• E쿠폰/호텔뷔페 : 일부 상품권(유가증권)은 현금영수증 발급이 불가하거나, 사용처(판매자)에서 발급합니다. 관련 문의는 판매자에게 연락해 주세요.
• 렌터카 : 리스료(여객 자동차 운수사업법에 의한 자동차 대여료)는 현금영수증 발급 대상이 아닙니다. 관련 문의는 판매자에게 연락해 주세요.
 ※ 판매자 연락처는 상품 상세페이지 내 [판매자 정보] 란에서 확인할 수 있습니다."
279,선물하기,선물하기 상품을 주문하면 선물메시지가 바로 전송되나요?,"카카오톡으로 선물한 경우 주문 시간에 상관없이 24시간 내내 바로 전송됩니다.
 문자(SMS)로 선물한 경우 기본적으로 바로 전송되나, 심야 시간대 (23:00~7:00) 주문 건은 오전 7시에 일괄 전송됩니다."
280,선물하기,배송지 입력 기한이 지나면 어떻게 되나요?,"선물을 받는 사람(수취인)이 선물 수락 기한 내 배송지를 입력하지 않으면 주문은 자동으로 취소됩니다. 이는 선물을 보내는 사람(주문자)에게 즉시 알림이 가고, 결제 취소와 환불이 순차적으로 진행됩니다."
281,선물하기,선물하기 상품의 배송상태가 계속 ‘선물 수락 전’으로 표시됩니다.,"배송상태가 ‘선물 수락 전’이면 선물을 받는 사람(수취인)이 아직 선물을 수락하지 않은 상태입니다. 이 경우 선물을 보내는 사람(주문자)이 받는 사람(수취인)에게 직접 연락하여 선물 수락하기를 요청하거나, 마이쿠팡에서 선물 메시지를 다시 보낼 수 있습니다.
 선물메시지 재전송하기
마이쿠팡 → 주문목록 → 상품선택 → [선물메시지 재전송] 선택
 선물을 받는 사람(수취인)이 7일 내로 선물을 수락하지 않으면 선물하기 주문은 자동으로 취소됩니다."
282,선물하기,선물한 주문 내역은 어디에서 확인하나요?,"선물하기로 주문한 상품도 마이쿠팡 주문목록에서 일반 상품과 동일하게 확인할 수 있습니다. 선물하기로 주문한 경우 주문목록에 To: 받는 사람 이름이 표기되어 있습니다. 즉, 선물을 받는 사람(수취인)의 이름이 기재되어 있는 주문은 선물하기로 구매한 것으로 보시면 됩니다. 
 단, 주문 내역을 삭제한 경우에는 마이쿠팡에서 주문 내역을 확인할 수 없습니다. 이 경우 구입 시 수신한 이메일을 확인하시거나 쿠팡 고객센터(1577-7011)로 문의해 주시기 바랍니다."
283,선물하기,선물하기 상품을 주문한 후 배송지를 변경하고 싶어요.,"선물하기는 배송지를 입력한 후 배송지 변경이 불가합니다. 
 선물을 받는 사람(수취인)은 배송지를 입력하고 수락한 이후에는 배송지 변경이 불가합니다. 입력한 배송지에서 상품을 받기 어려운 경우 쿠팡 고객센터(1577-7011)로 연락하여 취소 및 반품을 접수해 주세요.
 선물을 보내는 사람(주문자)은 선물을 받는 사람(수취인)의 배송지를 볼 수 없기에 배송지를 변경할 수 없습니다."
